Product_prix ID* (pr.fk_product),Base de prix (multi-prix) (pr.price_base_type),PriceLevel (pr.price_level),Prix unitaire HT (multi-prix) (pr.price),Prix unitaire TTC (multi-prix) (pr.price_ttc),Prix minimum unitaire HT (multi-prix) (pr.price_min),Prix minimum unitaire TTC (multi-prix) (pr.price_min_ttc),Taux TVA (multi-prix) (pr.tva_tx),Date création* (pr.date_price)
179,HT,1,263,314.548,105.2,125.8192,19.6,2013-12-06
180,HT,1,81,96.876,32.4,38.7504,19.6,2013-12-06
181,HT,1,58,69.368,23.2,27.7472,19.6,2013-12-06
182,HT,1,101,120.796,40.4,48.3184,19.6,2013-12-06
183,HT,1,103.4,123.6664,41.36,49.46656,19.6,2013-12-06
184,HT,1,137.5,164.45,55,65.78,19.6,2013-12-06
185,HT,1,95,113.62,38,45.448,19.6,2013-12-06
186,HT,1,708,846.768,283.2,338.7072,19.6,2013-12-06
187,HT,1,40,47.84,16,19.136,19.6,2013-12-06
188,HT,1,28,33.488,11.2,13.3952,19.6,2013-12-06
189,HT,1,28,33.488,11.2,13.3952,19.6,2013-12-06
190,HT,1,28,33.488,11.2,13.3952,19.6,2013-12-06
191,HT,1,40,47.84,16,19.136,19.6,2013-12-06
192,HT,1,40,47.84,16,19.136,19.6,2013-12-06
193,HT,1,41,49.036,16.4,19.6144,19.6,2013-12-06
194,HT,1,104,124.384,41.6,49.7536,19.6,2013-12-06
195,HT,1,116,138.736,46.4,55.4944,19.6,2013-12-06
196,HT,1,220,263.12,88,105.248,19.6,2013-12-06
197,HT,1,250,299,100,119.6,19.6,2013-12-06
198,HT,1,290,346.84,116,138.736,19.6,2013-12-06
199,HT,1,0,0,0,0,19.6,2013-12-06
200,HT,1,26,31.096,10.4,12.4384,19.6,2013-12-06
201,HT,1,0,0,0,0,19.6,2013-12-06
202,HT,1,135,161.46,54,64.584,19.6,2013-12-06
203,HT,1,135,161.46,54,64.584,19.6,2013-12-06
204,HT,1,120,143.52,48,57.408,19.6,2013-12-06
205,HT,1,0,0,0,0,19.6,2013-12-06
206,HT,1,41,49.036,16.4,19.6144,19.6,2013-12-06
207,HT,1,45,53.82,18,21.528,19.6,2013-12-06
208,HT,1,30,35.88,12,14.352,19.6,2013-12-06
209,HT,1,110,131.56,44,52.624,19.6,2013-12-06
210,HT,1,0,0,0,0,19.6,2013-12-06
211,HT,1,92,110.032,36.8,44.0128,19.6,2013-12-06
212,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
213,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
214,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
215,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
216,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
217,HT,1,22,26.312,8.8,10.5248,19.6,2013-12-06
218,HT,1,35,41.86,14,16.744,19.6,2013-12-06
219,HT,1,0,0,0,0,19.6,2013-12-06
220,HT,1,0,0,0,0,19.6,2013-12-06
221,HT,1,0,0,0,0,19.6,2013-12-06
222,HT,1,0,0,0,0,19.6,2013-12-06
223,HT,1,0,0,0,0,19.6,2013-12-06
224,HT,1,0,0,0,0,19.6,2013-12-06
