Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
ZC435/REFLEKTOR-NARROW+NZ;T5;1;T5 - 565 x 1495 x 107; 152.24 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW;T5;1;T5 - 565 x 1495 x 107; 114.24 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 565 x 1495 x 107; 151.96 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 565 x 1495 x 107; 161.56 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 565 x 1495 x 107; 170.48 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW+NZ;T5;1;T5 - 565 x 1495 x 107; 152.24 ; 20.00 ;;;;;
ZC480/REFLEKTOR-NARROW;T5;1;T5 - 565 x 1495 x 107; 127.68 ; 20.00 ;;;;;
ZC480/REFLEKTOR-NARROW+Dim1-10V;T5;1;T5 - 565 x 1495 x 107; 181.84 ; 20.00 ;;;;;
ZC480/REFLEKTOR-NARROW+DimDALI;T5;1;T5 - 565 x 1495 x 107; 185.28 ; 20.00 ;;;;;
ZC480/REFLEKTOR-NARROW+DimDSI;T5;1;T5 - 565 x 1495 x 107; 185.96 ; 20.00 ;;;;;
ZC480/REFLEKTOR-NARROW+NZ;T5;1;T5 - 565 x 1495 x 107; 165.68 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP40;T5;1;T5 - 275 x 1220 x 90; 72.00 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 275 x 1220 x 90; 90.84 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 275 x 1220 x 90; 95.64 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 275 x 1220 x 90; 100.12 ; 20.00 ;;;;;
ZC228/REFLEKTOR-IP40+NZ;T5;1;T5 - 275 x 1220 x 90; 110.00 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP40;T5;1;T5 - 275 x 1220 x 90; 72.00 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 275 x 1220 x 90; 90.84 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 275 x 1220 x 90; 95.64 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 275 x 1220 x 90; 100.12 ; 20.00 ;;;;;
ZC254/REFLEKTOR-IP40+NZ;T5;1;T5 - 275 x 1220 x 90; 110.00 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP40;T5;1;T5 - 275 x 1520 x 90; 83.04 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 275 x 1520 x 90; 101.88 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 275 x 1520 x 90; 106.68 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 275 x 1520 x 90; 111.16 ; 20.00 ;;;;;
ZC235/REFLEKTOR-IP40+NZ;T5;1;T5 - 275 x 1520 x 90; 121.04 ; 20.00 ;;;;;
ZC249/REFLEKTOR-IP40;T5;1;T5 - 275 x 1520 x 90; 83.04 ; 20.00 ;;;;;
ZC249/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 275 x 1520 x 90; 101.88 ; 20.00 ;;;;;
ZC249/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 275 x 1520 x 90; 106.68 ; 20.00 ;;;;;
ZC249/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 275 x 1520 x 90; 111.16 ; 20.00 ;;;;;
ZC249/REFLEKTOR-IP40+NZ;T5;1;T5 - 275 x 1520 x 90; 121.04 ; 20.00 ;;;;;
ZC280/REFLEKTOR-IP40;T5;1;T5 - 275 x 1520 x 90; 90.52 ; 20.00 ;;;;;
