Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
16138;FARO MINI 3U T2 E14 5W 2700K;1;;3,75;20;;;;;8421776006898
16155;FARO T4 4U E27 30W 2700K 1900Lm;1;;9,79;20;;;;;8421776007390
16164;FARO 4U E27 T3 23W 2700K;1;;5,72;20;;;;;8421776161641
16166;FARO 4U E27 T3 15W 2700K;1;;5,00;20;;;;;8421776161665
16167;FARO 4U E27 T3 20W 2700K 1151lm;1;;5,45;20;;;;;8421776161672
16177;FARO SP T2 E27 20W 2700K;1;;5,00;20;;;;;8421776007079
16178;FARO SP T2 E27 23W 2700K;1;;5,57;20;;;;;8421776007093
16204;FARO VELA E14 11W 2700K;1;;4,95;20;;;;;8421776162044
16210;FARO VELA PUNTA E14 9W 2700K T2 3U;1;;5,10;20;;;;;8421776162105
16212;FARO GLOBO E27 20W 2700K;1;;7,85;20;;;;;8421776162129
16215;FARO GLOBO E27 23W A 2700K;1;;8,10;20;;;;;8421776007413
16218;FARO GLOBO 30W E27 2700K;1;;13,92;20;;;;;8421776022409
16219;FARO GLOBO E27 14W 2700K;1;;6,08;20;;;;;8421776162198
16224;FARO GLOBO E14 11W 2700K;1;;4,70;20;;;;;8421776162242
16238;FARO ESFERICA Ø55 T2 SP E27 7W 2700K;1;;5,26;20;;;;;8421776007130
16239;FARO ESFERICA Ø55 T2 4U E14 9W 2700K;1;;5,15;20;;;;;8421776007154
16240;FARO ESFERICA Ø55 T2 4U E27 9W 2700K;1;;5,15;20;;;;;8421776007178
16269;FARO GLOBO E14 14W 2700K.;1;;6,08;20;;;;;8421776162693
16285;FARO PAR38 E27 20W 2700K BLANCA;1;;12,74;20;;;;;8421776162853
16291;FARO SUPER MINI 6U E14 T2 11W 2700K;1;;6,29;20;;;;;8421776000667
16292;FARO MINI 6U E27 T2 15W 2700K;1;;6,49;20;;;;;8421776000254
16293;FARO 6U E27 T2 20W 2700K;1;;6,70;20;;;;;8421776000681
16294;FARO MINI 6U E14 T2 15W 2700K;1;;6,49;20;;;;;8421776008274
16296;FARO MINI 6U E14 T2 20W 2700K;1;;6,70;20;;;;;8421776015210
16302;FARO T45 E27 9W 2700K;1;;5,10;20;;;;;8421776007215
16310;FARO DIMABLE E27 20W 2700K;1;;15,40;20;;;;;8421776015357
16320;FARO MICRO ESPIRAL E27 11W 2700K;1;;4,58;20;;;;;8421776022430
16321;FARO MICRO ESPIRAL E14 11W 2700 K;1;;4,58;20;;;;;8421776023796
16322;FARO MICRO ESPIRAL E27 15W 2700 K;1;;4,60;20;;;;;8421776022454
16323;FARO MICRO ESPIRAL E14 15W 2700K;1;;4,60;20;;;;;8421776022461
16455;FARO 4U T4 E27 30W 5000K 1900Lm;1;;9,79;20;;;;;8421776007406
16464;FARO 4U E27 T3 23W 5000K;1;;5,72;20;;;;;8421776164642
16466;FARO 4U E27 T3 15W 5000K;1;;5,00;20;;;;;8421776164666
16467;FARO 4U E27 T3 20W 5000K;1;;5,45;20;;;;;8421776164673
16468;FARO SP T2 E27 20W 5000K;1;;5,00;20;;;;;8421776007086
16469;FARO SP T2 E27 23W 5000K;1;;5,57;20;;;;;8421776007109
16478;FARO SP E27 T5 80W 6400K;1;;20,78;20;;;;;8421776164789
16479;FARO SP 108W E27 6400 K;1;;28,26;20;;;;;8421776022423
16515;FARO GLOBO E27 23W A 5000K;1;;8,10;20;;;;;8421776007420
16518;FARO GLOBO 30W E27 5000 K;1;;13,92;20;;;;;8421776022416
16524;FARO GLOBO E14 11W 5000K;1;;4,70;20;;;;;8421776165243
16553;FARO 4U E27 T5 45W A 5000K;1;;13,30;20;;;;;8421776008960
16576;FARO DOBLE SENSOR 3U E27 T4 20W 5000K;1;;7,90;20;;;;;8421776165762
16578;FARO DOBLE SENSOR SP T3 E27 15W 5000K;1;;7,90;20;;;;;8421776015197
16591;FARO MINI 6U E14 T2 11W 5000K;1;;6,29;20;;;;;8421776000674
16592;FARO MINI 6U E27 T2 15W 5000K;1;;6,49;20;;;;;8421776000704
16593;FARO MINI 6U E27 T2 20W 5000K;1;;6,70;20;;;;;8421776000698
16594;FARO MINI 6U E14 T2 15W 5000K 800lm;1;;6,49;20;;;;;8421776008281
16600;FARO R50 E14 7W 5000K;1;;7,18;20;;;;;8421776166004
