Identifiant société,Raison sociale,Adresse,Code postal,Ville,Code pays,Téléphone,Identifiant professionnel 1,Identifiant professionnel 2,Identifiant professionnel 3,Identifiant professionnel 4,Compte comptable client,Compte comptable fournisseur,Numéro de TVA,Id facture,Réf. facture,Date création facture,Date facturation,Date échéance,Total HT,Total TTC,Total TVA,Facture payée,Statut facture,Note (privée),Note (publique),Id paiement,Montant paiement,Date paiement,Numéro paiement,New line,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,583,FA1411-0468,2014-11-14 07:29:07,2014-11-05,2014-11-20,1517.00000000,1820.40000000,303.40000000,1,2,,,235,1820.40000000,2014-11-10 12:00:00,,0,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,626,FA1412-0507,2014-12-23 22:44:38,2014-12-05,2014-12-20,1517.00000000,1820.40000000,303.40000000,1,2,,,260,1820.40000000,2014-12-11 12:00:00,,0,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,661,FA1501-0542,2015-01-06 01:29:14,2015-01-05,2015-01-20,1517.00000000,1820.40000000,303.40000000,1,2,,,273,1820.40000000,2015-01-12 12:00:00,,0,
11,ASLI SARL,38 rue du Général Foy,75008,PARIS,FR,,,,,,90ASLI,,,693,FA1502-0573,2015-02-13 10:56:15,2015-02-05,2015-02-20,1517.00000000,1820.40000000,303.40000000,1,2,,,297,1820.40000000,2015-02-10 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,6,FA1210-0004,2012-10-04 16:22:51,2012-10-04,2012-10-19,1857.00000000,2220.97000000,363.97000000,1,2,,,5,2220.97000000,2012-10-11 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,11,FA1211-0009,2012-11-05 11:43:50,2012-11-05,2012-11-20,1857.00000000,2220.97000000,363.97000000,1,2,,,6,2220.97000000,2012-11-12 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,16,FA1212-0014,2012-12-02 22:44:20,2012-12-02,2012-12-17,1857.00000000,2220.97000000,363.97000000,1,2,,,14,2220.97000000,2012-12-10 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,23,FA1301-0019,2013-01-07 08:53:25,2013-01-07,2013-01-22,1857.00000000,2220.97000000,363.97000000,1,2,,,20,2220.97000000,2013-01-11 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,31,FA1302-0029,2013-02-04 15:04:26,2013-02-04,2013-02-19,1857.00000000,2220.97000000,363.97000000,1,2,,,23,2220.97000000,2013-02-12 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,39,FA1303-0036,2013-03-07 16:56:27,2013-03-07,2013-03-22,1857.00000000,2220.97000000,363.97000000,1,2,,,30,2220.97000000,2013-03-14 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,53,FA1304-0049,2013-04-02 09:56:13,2013-04-02,2013-04-17,1857.00000000,2220.97000000,363.97000000,1,2,,,32,2220.97000000,2013-04-12 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,63,FA1305-0058,2013-05-04 19:12:50,2013-05-06,2013-05-21,1857.00000000,2220.97000000,363.97000000,1,2,,,41,2220.97000000,2013-05-10 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,80,FA1306-0075,2013-06-03 15:01:09,2013-06-03,2013-06-18,1857.00000000,2220.97000000,363.97000000,1,2,,,51,2220.97000000,2013-06-10 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,102,FA1307-0091,2013-07-02 11:00:57,2013-07-02,2013-07-17,1857.00000000,2220.97000000,363.97000000,1,2,,,61,2220.97000000,2013-07-10 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,135,FA1308-0124,2013-08-05 17:46:11,2013-08-05,2013-08-20,1857.00000000,2220.97000000,363.97000000,1,2,,,72,2220.97000000,2013-08-12 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,142,FA1309-0130,2013-09-02 11:06:22,2013-09-02,2013-09-17,1857.00000000,2220.97000000,363.97000000,1,2,,,73,2220.97000000,2013-09-12 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,165,FA1310-0153,2013-10-07 22:49:49,2013-10-07,2013-10-22,1857.00000000,2220.97000000,363.97000000,1,2,,,100,2220.97000000,2013-10-10 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,190,FA1311-0175,2013-11-08 07:52:44,2013-11-08,2013-11-23,1857.00000000,2220.97000000,363.97000000,1,2,,,108,2220.97000000,2013-11-12 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,213,FA1312-0197,2013-12-02 08:30:23,2013-12-02,2013-12-17,1857.00000000,2220.97000000,363.97000000,1,2,,,130,2220.97000000,2013-12-12 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,244,FA1401-0226,2014-01-15 16:47:41,2014-01-15,2014-01-30,1857.00000000,2228.40000000,371.40000000,0,2,,,129,2220.97000000,2014-01-13 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,262,FA1402-0245,2014-02-03 10:29:28,2014-02-03,2014-02-18,1857.00000000,2228.40000000,371.40000000,1,2,,,136,2228.40000000,2014-02-10 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,281,FA1403-0261,2014-03-07 11:25:17,2014-03-07,2014-03-22,1857.00000000,2228.40000000,371.40000000,1,2,,,149,2228.40000000,2014-03-10 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,303,FA1404-0283,2014-04-09 11:37:38,2014-04-09,2014-04-24,1857.00000000,2228.40000000,371.40000000,1,2,,,157,2228.40000000,2014-05-12 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,327,FA1405-0305,2014-05-19 09:54:55,2014-05-09,2014-05-24,1857.00000000,2228.40000000,371.40000000,1,2,,,161,2228.40000000,2014-05-12 12:00:00,,,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,350,FA1406-0317,2014-06-13 09:34:59,2014-06-13,2014-06-28,1857.00000000,2228.40000000,371.40000000,1,2,,,176,2228.40000000,2014-06-10 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,394,FA1407-0356,2014-07-09 16:55:33,2014-07-09,2014-07-24,1857.00000000,2228.40000000,371.40000000,1,2,,,180,2228.40000000,2014-07-11 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,418,FA1408-0374,2014-08-08 11:07:08,2014-08-08,2014-08-23,1857.00000000,2228.40000000,371.40000000,1,2,,,198,2228.40000000,2014-09-16 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,450,FA1409-0395,2014-09-09 17:43:23,2014-09-09,2014-09-24,1857.00000000,2228.40000000,371.40000000,1,2,,,198,2228.40000000,2014-09-16 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,532,FA1410-0423,2014-10-10 16:16:28,2014-10-10,2014-10-25,1857.00000000,2228.40000000,371.40000000,1,2,,,224,2228.40000000,2014-10-30 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,537,FA1410-0428,2014-10-10 17:06:12,2014-10-10,2014-11-30,250.00000000,300.00000000,50.00000000,1,2,,,224,300.00000000,2014-10-30 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,561,AV1410-0010,2014-10-30 09:47:15,2014-10-30,2014-10-30,-250.00000000,-300.00000000,-50.00000000,1,2,,,223,-300.00000000,2014-10-30 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,586,FA1411-0471,2014-11-14 07:34:09,2014-11-05,2014-11-20,1857.00000000,2228.40000000,371.40000000,1,2,,,238,2228.40000000,2014-11-10 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,629,FA1412-0510,2014-12-23 22:49:49,2014-12-05,2014-12-20,1857.00000000,2228.40000000,371.40000000,1,2,,,263,2228.40000000,2014-12-10 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,664,FA1501-0545,2015-01-06 01:31:08,2015-01-05,2015-01-20,1857.00000000,2228.40000000,371.40000000,1,2,,,272,2228.40000000,2015-01-12 12:00:00,,0,
12,BOIS JOLI SA,38 rue du géneral Foy,75008,PARIS,FR,,,,,,90BOIS,,,696,FA1502-0576,2015-02-13 10:58:36,2015-02-05,2015-02-20,1857.00000000,2228.40000000,371.40000000,1,2,,,300,2228.40000000,2015-02-11 12:00:00,,0,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,5,FA1210-0003,2012-10-04 16:21:48,2012-10-04,2012-10-19,1186.00000000,1418.46000000,232.46000000,1,2,,,4,1418.46000000,2012-10-11 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,10,FA1211-0008,2012-11-05 11:42:49,2012-11-05,2012-11-20,1186.00000000,1418.46000000,232.46000000,1,2,,,7,1418.46000000,2012-11-12 12:00:00,,,
13,RESIDENCE DU LAC SARL,Chemin de la Haguette,27700,TOSNY,FR,,,,,,90RESID,,,15,FA1212-0013,2012-12-02 22:42:16,2012-12-02,2012-12-17,1186.00000000,1418.46000000,232.46000000,1,2,,,13,1418.46000000,2012-12-10 12:00:00,,,
